batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Delhi Capitals,Rajasthan Royals,Barsapara Stadium Guwahati,Tristan Stubbs,R Ashwin,15,4,118,10,44,0,149
Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,Shubham Dubey,Umran Malik,4,3,29,1,39,2,152
Sunrisers Hyderabad,Lucknow Super Giants,PCA Stadium Mohali,Mayank Agarwal,Ravi Bishnoi,15,4,112,4,30,1,143
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,Dhruv Jurel,Akash Madhwal,9,5,78,3,60,0,163
Sunrisers Hyderabad,Kolkata Knight Riders,Arun Jaitley Stadium,Travis Head,Chetan Sakariya,2,3,16,2,35,0,173
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Ishan Kishan,Sandeep Sharma,19,5,173,6,56,0,174
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Yashasvi Jaiswal,Shreyas Gopal,9,5,58,3,33,0,179
Kolkata Knight Riders,Lucknow Super Giants,MA Chidambaram Stadium,Venkatesh Iyer,Ravi Bishnoi,3,4,29,2,25,1,194
Kolkata Knight Riders,Delhi Capitals,HPCA Stadium Dharamsala,Manish Pandey,Jhye Richardson,3,4,41,0,56,2,278
Delhi Capitals,Lucknow Super Giants,Ekana Cricket Stadium,Tristan Stubbs,Amit Mishra,19,2,155,7,26,0,156
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Sanju Samson,Harpreet Brar,7,3,44,2,17,0,140
Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,MS Dhoni,Yash Dayal,16,3,123,9,35,0,161
Rajasthan Royals,Sunrisers Hyderabad,Ekana Cricket Stadium,Rovman Powell,Bhuvneshwar Kumar,7,2,65,2,28,0,217
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,Nehal Wadhera,T Natarajan,17,6,118,4,32,0,137
Delhi Capitals,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Mitchell Marsh,Alzarri Joseph,20,1,178,8,41,1,179
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Tilak Varma,Mohit Sharma,5,3,46,2,47,0,185
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Nitish Kumar Reddy,Harshit Rana,16,5,130,4,52,0,164
Delhi Capitals,Kolkata Knight Riders,HPCA Stadium Dharamsala,Prithvi Shaw,Harshit Rana,14,2,102,2,42,1,141
Delhi Capitals,Lucknow Super Giants,Eden Gardens,Rishabh Pant,Yash Thakur,14,5,98,3,50,0,128
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,Nitish Rana,Harpreet Brar,1,6,0,0,45,1,1
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,Shashank Singh,Jaydev Unadkat,3,2,27,0,75,2,161
Rajasthan Royals,Chennai Super Kings,PCA Stadium Mohali,Yashasvi Jaiswal,Ravindra Jadeja,16,2,132,10,38,0,164
Punjab Kings,Sunrisers Hyderabad,PCA Stadium Mohali,Liam Livingstone,Jaydev Unadkat,17,5,147,9,57,1,156
Punjab Kings,Royal Challengers Bangalore,PCA Stadium Mohali,Ashutosh Sharma,Vyshak Vijaykumar,5,3,48,0,54,0,216
Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rinku Singh,Nandre Burger,1,1,2,0,31,0,31
Rajasthan Royals,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Yashasvi Jaiswal,Reece Topley,8,4,81,6,66,0,192
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,Yash Dhull,Alzarri Joseph,3,2,0,0,36,1,6
Punjab Kings,Delhi Capitals,Wankhede Stadium,Jitesh Sharma,Khaleel Ahmed,5,2,35,1,43,2,143
Gujarat Titans,Kolkata Knight Riders,HPCA Stadium Dharamsala,Wriddhiman Saha,Varun Chakaravarthy,12,6,86,2,60,1,105
Kolkata Knight Riders,Gujarat Titans,M. Chinnaswamy Stadium,Andre Russell,Mohit Sharma,12,2,73,6,45,3,135
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Abishek Porel,Rashid Khan,13,3,97,5,37,0,128
Rajasthan Royals,Kolkata Knight Riders,Ekana Cricket Stadium,Shubham Dubey,Mujeeb Ur Rahman,1,1,0,0,52,0,1
Mumbai Indians,Chennai Super Kings,MA Chidambaram Stadium,Hardik Pandya,Ravindra Jadeja,19,6,133,8,39,2,159
Kolkata Knight Riders,Sunrisers Hyderabad,Ekana Cricket Stadium,Phil Salt,Jaydev Unadkat,5,6,39,1,58,0,165
Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,Rinku Singh,Washington Sundar,13,2,86,4,66,1,127
Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Nicholas Pooran,Darshan Nalkande,7,3,48,3,36,0,137
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,Prithvi Shaw,Varun Chakaravarthy,15,5,105,7,32,1,138
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,Rohit Sharma,Nathan Ellis,5,6,46,0,55,3,189
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,Nitish Kumar Reddy,Nuwan Thushara,12,4,87,5,28,3,151
Delhi Capitals,Mumbai Indians,Barsapara Stadium Guwahati,Abishek Porel,Luke Wood,18,6,131,6,37,0,145
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,Ajinkya Rahane,Arshdeep Singh,20,2,159,7,19,1,174
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Yashasvi Jaiswal,Mohit Sharma,4,5,51,0,39,1,273
Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Tilak Varma,Lalit Yadav,5,5,53,1,35,0,234
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Tilak Varma,Sunil Narine,11,4,92,1,54,0,162
Lucknow Super Giants,Gujarat Titans,MA Chidambaram Stadium,Ayush Badoni,Spencer Johnson,5,5,52,2,37,1,207
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Prabhsimran Singh,Chetan Sakariya,17,3,183,1,56,0,227
Mumbai Indians,Gujarat Titans,Wankhede Stadium,Tilak Varma,Spencer Johnson,6,2,51,2,55,2,192
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,Jonny Bairstow,Karn Sharma,15,3,128,10,33,0,191
Gujarat Titans,Punjab Kings,Narendra Modi Stadium,Shubman Gill,Harpreet Brar,13,1,68,5,58,1,110
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Andre Russell,Noor Ahmad,4,4,35,1,46,2,184
Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Harry Brook,Chetan Sakariya,4,1,23,2,55,0,114
Chennai Super Kings,Royal Challengers Bangalore,PCA Stadium Mohali,Moeen Ali,Mohammed Siraj,14,6,127,9,48,1,211
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Venkatesh Iyer,T Natarajan,11,4,89,3,63,0,153
Lucknow Super Giants,Punjab Kings,Barsapara Stadium Guwahati,Krunal Pandya,Harshal Patel,17,6,149,3,73,0,205
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Romario Shepherd,Rashid Khan,10,2,82,4,50,0,177
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Ishan Kishan,Varun Chakaravarthy,12,3,97,6,56,0,164
Mumbai Indians,Punjab Kings,PCA Stadium Mohali,Rohit Sharma,Nathan Ellis,7,5,59,4,52,0,171
Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,Moeen Ali,R Sai Kishore,8,1,65,0,47,0,177
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Ruturaj Gaikwad,Akash Deep,20,4,169,8,50,0,170
Punjab Kings,Sunrisers Hyderabad,PCA Stadium Mohali,Liam Livingstone,Pat Cummins,1,2,0,0,28,1,14
Gujarat Titans,Punjab Kings,Arun Jaitley Stadium,Rahul Tewatia,Arshdeep Singh,2,3,13,1,14,0,133
Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,Mahipal Lomror,Shardul Thakur,12,4,110,3,49,1,158
Rajasthan Royals,Lucknow Super Giants,PCA Stadium Mohali,Yashasvi Jaiswal,Mayank Yadav,1,4,14,0,56,0,280
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Sam Curran,Yash Dayal,17,5,114,10,32,0,148
Delhi Capitals,Kolkata Knight Riders,Barsapara Stadium Guwahati,Mitchell Marsh,Varun Chakaravarthy,20,2,187,7,51,0,192
Mumbai Indians,Punjab Kings,PCA Stadium Mohali,Ishan Kishan,Kagiso Rabada,13,6,115,1,57,2,169
Royal Challengers Bangalore,Gujarat Titans,Narendra Modi Stadium,Rajat Patidar,R Sai Kishore,20,3,193,10,55,0,210
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Suryakumar Yadav,Spencer Johnson,11,2,105,2,55,2,217
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,Tim David,Nathan Ellis,18,3,159,4,36,0,188
Punjab Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sam Curran,Bhuvneshwar Kumar,6,1,43,4,45,2,170
Chennai Super Kings,Gujarat Titans,HPCA Stadium Dharamsala,Moeen Ali,Mohammed Shami,14,4,111,4,61,0,176
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Glenn Phillips,Noor Ahmad,17,1,138,7,59,1,179
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,Angkrish Raghuvanshi,Reece Topley,1,1,6,1,43,3,111
Lucknow Super Giants,Punjab Kings,Arun Jaitley Stadium,Quinton de Kock,Harpreet Brar,10,1,61,4,37,1,116
Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,Sai Sudharsan,Umran Malik,2,4,5,0,53,1,56
Sunrisers Hyderabad,Punjab Kings,Ekana Cricket Stadium,Travis Head,Arshdeep Singh,19,2,150,3,23,0,171
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Dewald Brevis,Noor Ahmad,2,2,23,1,49,1,242
Lucknow Super Giants,Royal Challengers Bangalore,PCA Stadium Mohali,Kyle Mayers,Reece Topley,6,2,45,2,46,1,166
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Rinku Singh,Mukesh Choudhary,18,1,145,6,54,1,177
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,Mayank Agarwal,Darshan Nalkande,11,1,82,4,30,2,139
Chennai Super Kings,Gujarat Titans,M. Chinnaswamy Stadium,Devon Conway,Noor Ahmad,1,3,2,0,50,1,31
Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium,Rahul Tewatia,Ravindra Jadeja,11,3,107,6,40,0,215
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,Quinton de Kock,Washington Sundar,14,2,106,4,24,1,144
Mumbai Indians,Delhi Capitals,PCA Stadium Mohali,Suryakumar Yadav,Jhye Richardson,2,1,9,1,38,1,114
Delhi Capitals,Lucknow Super Giants,HPCA Stadium Dharamsala,Yash Dhull,Ravi Bishnoi,7,2,74,6,43,0,214
Mumbai Indians,Delhi Capitals,HPCA Stadium Dharamsala,Romario Shepherd,Anrich Nortje,12,2,122,5,53,0,222
Chennai Super Kings,Punjab Kings,PCA Stadium Mohali,Shivam Dube,Vidwath Kaverappa,5,2,46,1,54,1,174
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,Rovman Powell,Mujeeb Ur Rahman,8,6,62,1,35,1,166
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,Shreyas Iyer,Nathan Ellis,2,3,18,2,33,1,163
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,KL Rahul,Darshan Nalkande,9,6,64,4,39,2,137
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Jos Buttler,Tushar Deshpande,18,1,139,6,53,0,140
Punjab Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Liam Livingstone,Varun Chakaravarthy,8,3,79,1,42,0,179
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Sanju Samson,Harpreet Brar,13,6,104,0,56,1,151
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,Shubham Dubey,R Sai Kishore,13,2,98,6,61,0,157
Delhi Capitals,Kolkata Knight Riders,Ekana Cricket Stadium,Mitchell Marsh,Varun Chakaravarthy,13,5,113,4,47,0,159
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,Yashasvi Jaiswal,Anrich Nortje,7,6,53,3,42,1,147
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,MS Dhoni,Kagiso Rabada,17,5,135,7,39,0,160
Punjab Kings,Kolkata Knight Riders,Eden Gardens,Prabhsimran Singh,Sunil Narine,1,5,0,0,55,0,1
Lucknow Super Giants,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Krunal Pandya,Maheesh Theekshana,13,5,103,4,18,2,177
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Tilak Varma,Reece Topley,19,6,191,4,33,2,196
Delhi Capitals,Gujarat Titans,Ekana Cricket Stadium,David Warner,Noor Ahmad,11,2,74,6,33,0,139
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,Glenn Phillips,Maheesh Theekshana,19,3,145,4,51,3,161
Gujarat Titans,Punjab Kings,Wankhede Stadium,Sai Sudharsan,Arshdeep Singh,20,2,174,9,55,1,175
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,Manish Pandey,Nathan Ellis,3,1,14,0,47,1,94
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,MS Dhoni,Mukesh Kumar,17,1,131,5,37,1,143
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,Dhruv Jurel,Nuwan Thushara,11,3,94,1,48,4,192
Sunrisers Hyderabad,Rajasthan Royals,MA Chidambaram Stadium,Abhishek Sharma,Nandre Burger,17,1,149,4,52,1,171
Rajasthan Royals,Chennai Super Kings,PCA Stadium Mohali,Rovman Powell,Matheesha Pathirana,3,5,29,1,50,1,165
Chennai Super Kings,Gujarat Titans,PCA Stadium Mohali,MS Dhoni,Noor Ahmad,10,2,96,5,37,0,211
Gujarat Titans,Chennai Super Kings,HPCA Stadium Dharamsala,Wriddhiman Saha,Ravindra Jadeja,20,4,202,10,46,0,203
Sunrisers Hyderabad,Gujarat Titans,M. Chinnaswamy Stadium,Glenn Phillips,Darshan Nalkande,1,3,1,1,50,1,30
Chennai Super Kings,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Shivam Dube,Lockie Ferguson,13,6,101,4,47,1,141
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Shimron Hetmyer,Ravindra Jadeja,12,2,92,6,44,2,162
Mumbai Indians,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Romario Shepherd,Mohit Sharma,6,3,61,1,71,0,210
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Rishabh Pant,Matheesha Pathirana,15,3,137,9,46,1,183
Delhi Capitals,Kolkata Knight Riders,HPCA Stadium Dharamsala,Abishek Porel,Varun Chakaravarthy,1,1,0,0,25,2,33
Chennai Super Kings,Punjab Kings,Eden Gardens,Ruturaj Gaikwad,Vidwath Kaverappa,6,1,43,1,33,0,136
Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,Marcus Stoinis,Vaibhav Arora,5,6,40,1,54,0,143
Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,Sanju Samson,Matheesha Pathirana,16,2,149,5,41,2,209
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,David Miller,Reece Topley,5,4,36,2,40,0,142
Royal Challengers Bangalore,Sunrisers Hyderabad,Ekana Cricket Stadium,Cameron Green,Umran Malik,7,2,74,3,45,3,220
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Ishan Kishan,Varun Chakaravarthy,3,1,27,1,22,1,188
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Riyan Parag,Anrich Nortje,19,1,137,7,52,0,187
Chennai Super Kings,Delhi Capitals,Ekana Cricket Stadium,Moeen Ali,Khaleel Ahmed,7,5,52,1,75,0,172
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,Manish Pandey,Navdeep Saini,16,4,150,6,39,2,204
Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium,Marcus Stoinis,Jhye Richardson,7,5,55,3,46,3,198
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Ayush Badoni,Darshan Nalkande,1,5,8,2,46,1,163
Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,Liam Livingstone,R Ashwin,10,2,72,4,34,1,132
Mumbai Indians,Rajasthan Royals,Ekana Cricket Stadium,Tim David,Nandre Burger,14,3,116,7,45,0,140
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,David Warner,Luke Wood,11,1,95,5,43,0,182
Lucknow Super Giants,Delhi Capitals,Barsapara Stadium Guwahati,KL Rahul,Jhye Richardson,19,2,142,6,49,1,155
Punjab Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Jonny Bairstow,Pat Cummins,16,3,146,8,16,0,206
Royal Challengers Bangalore,Punjab Kings,Arun Jaitley Stadium,Virat Kohli,Kagiso Rabada,9,5,75,2,44,2,174
Royal Challengers Bangalore,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Virat Kohli,Kagiso Rabada,10,5,74,3,12,3,179
Rajasthan Royals,Mumbai Indians,Narendra Modi Stadium,Rovman Powell,Shreyas Gopal,5,3,38,3,24,1,148
Chennai Super Kings,Kolkata Knight Riders,HPCA Stadium Dharamsala,Ruturaj Gaikwad,Vaibhav Arora,6,4,68,4,59,1,238
Chennai Super Kings,Lucknow Super Giants,Barsapara Stadium Guwahati,Ruturaj Gaikwad,Ravi Bishnoi,10,3,110,2,10,0,225
Chennai Super Kings,Kolkata Knight Riders,Ekana Cricket Stadium,Sameer Rizvi,Chetan Sakariya,5,1,41,3,42,2,163
Gujarat Titans,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Vijay Shankar,Mayank Markande,16,3,135,6,43,1,156
Lucknow Super Giants,Punjab Kings,MA Chidambaram Stadium,Ayush Badoni,Arshdeep Singh,19,6,133,8,38,1,155
Kolkata Knight Riders,Rajasthan Royals,Ekana Cricket Stadium,Angkrish Raghuvanshi,Avesh Khan,18,2,139,6,22,1,140
Rajasthan Royals,Punjab Kings,Barsapara Stadium Guwahati,Yashasvi Jaiswal,Harshal Patel,13,2,85,4,33,2,146
Delhi Capitals,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,David Warner,Akash Deep,16,5,132,7,53,2,166
Gujarat Titans,Punjab Kings,Narendra Modi Stadium,Shahrukh Khan,Harshal Patel,20,6,192,6,35,0,193
Royal Challengers Bangalore,Punjab Kings,Barsapara Stadium Guwahati,Dinesh Karthik,Nathan Ellis,19,2,165,5,33,1,182
Sunrisers Hyderabad,Mumbai Indians,PCA Stadium Mohali,Mayank Agarwal,Piyush Chawla,19,2,199,4,71,2,200
Kolkata Knight Riders,Chennai Super Kings,Ekana Cricket Stadium,Shreyas Iyer,Mustafizur Rahman,19,5,136,7,32,0,145
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,Rahul Tripathi,Yash Dayal,3,4,20,1,34,0,148
Kolkata Knight Riders,Rajasthan Royals,PCA Stadium Mohali,Phil Salt,R Ashwin,2,3,7,1,48,0,65
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Suryakumar Yadav,Deepak Chahar,18,6,166,7,27,2,200
Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,Nitish Kumar Reddy,Vyshak Vijaykumar,10,2,90,2,34,1,161
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,Abhishek Sharma,Ishant Sharma,6,6,62,4,52,0,186
Punjab Kings,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Rilee Rossouw,Ravindra Jadeja,13,1,110,9,61,1,183
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,Rahul Tewatia,Mohammed Siraj,19,2,173,5,41,0,186
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,Mayank Agarwal,Varun Chakaravarthy,13,3,122,4,55,0,177
Mumbai Indians,Lucknow Super Giants,HPCA Stadium Dharamsala,Ishan Kishan,Amit Mishra,18,4,125,3,34,1,145
Delhi Capitals,Kolkata Knight Riders,PCA Stadium Mohali,Yash Dhull,Mujeeb Ur Rahman,10,3,87,7,48,1,178
Punjab Kings,Gujarat Titans,Sawai Mansingh Stadium,Liam Livingstone,Mohammed Shami,3,4,0,1,58,4,1
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Venkatesh Iyer,Umesh Yadav,3,4,23,0,44,1,153
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Aiden Markram,Spencer Johnson,18,6,148,4,26,0,175
Royal Challengers Bangalore,Delhi Capitals,Ekana Cricket Stadium,Mahipal Lomror,Anrich Nortje,8,4,71,1,48,1,179
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Rovman Powell,Matheesha Pathirana,11,6,94,4,45,1,142
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Romario Shepherd,Navdeep Saini,20,2,157,10,54,0,168
Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Daryl Mitchell,Mohammed Shami,10,5,77,5,41,0,181
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,Mahipal Lomror,Arshdeep Singh,9,5,82,1,55,1,181
Lucknow Super Giants,Kolkata Knight Riders,Barsapara Stadium Guwahati,Nicholas Pooran,Mujeeb Ur Rahman,5,2,41,0,41,2,162
Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Rishabh Pant,Akash Deep,5,1,19,1,17,1,79
Lucknow Super Giants,Sunrisers Hyderabad,Narendra Modi Stadium,Quinton de Kock,Umran Malik,13,2,135,3,52,0,202
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Shreyas Iyer,Nuwan Thushara,8,5,76,0,33,0,186
Mumbai Indians,Delhi Capitals,Barsapara Stadium Guwahati,Hardik Pandya,Anrich Nortje,4,2,22,0,36,1,118
Sunrisers Hyderabad,Gujarat Titans,MA Chidambaram Stadium,Heinrich Klaasen,Spencer Johnson,18,5,172,7,34,1,196
Chennai Super Kings,Kolkata Knight Riders,Ekana Cricket Stadium,Devon Conway,Varun Chakaravarthy,19,4,140,8,31,1,181
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,Nehal Wadhera,Vaibhav Arora,12,4,76,5,44,1,113
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Shahrukh Khan,Varun Chakaravarthy,20,3,209,7,52,0,222
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Ruturaj Gaikwad,Avesh Khan,16,2,143,3,62,2,213
Chennai Super Kings,Gujarat Titans,HPCA Stadium Dharamsala,Moeen Ali,Rashid Khan,15,6,132,5,39,0,149
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sai Sudharsan,Vaibhav Arora,15,2,114,10,45,0,149
Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,Devdutt Padikkal,Sunil Narine,19,1,139,7,40,3,143
Mumbai Indians,Gujarat Titans,Barsapara Stadium Guwahati,Hardik Pandya,R Sai Kishore,14,5,139,8,50,0,179
Royal Challengers Bangalore,Chennai Super Kings,PCA Stadium Mohali,Mahipal Lomror,Tushar Deshpande,6,5,68,1,42,0,231
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,Shashank Singh,Jaydev Unadkat,3,6,4,1,44,1,25
Lucknow Super Giants,Delhi Capitals,M. Chinnaswamy Stadium,Marcus Stoinis,Axar Patel,16,4,106,8,20,2,114
Chennai Super Kings,Gujarat Titans,Ekana Cricket Stadium,Shivam Dube,Umesh Yadav,14,1,132,10,64,0,192
Punjab Kings,Delhi Capitals,Wankhede Stadium,Ashutosh Sharma,Lalit Yadav,5,1,50,1,33,1,212
Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Harry Brook,Karn Sharma,7,1,44,1,59,1,141
Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium,Jos Buttler,Matt Henry,6,5,58,1,43,3,209
Gujarat Titans,Rajasthan Royals,MA Chidambaram Stadium,Shahrukh Khan,Kuldeep Sen,10,5,103,2,57,0,219
Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,Ruturaj Gaikwad,Rahul Chahar,3,6,21,1,23,1,131
Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Abishek Porel,Varun Chakaravarthy,20,2,191,6,46,0,195
Delhi Capitals,Sunrisers Hyderabad,HPCA Stadium Dharamsala,Rishabh Pant,Mayank Markande,20,3,155,5,22,1,197
Punjab Kings,Mumbai Indians,PCA Stadium Mohali,Shikhar Dhawan,Akash Madhwal,15,2,122,5,49,1,170
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,Jonny Bairstow,Mohammed Siraj,11,1,85,3,31,0,173
Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Quinton de Kock,Akash Deep,9,5,82,3,42,1,209
Gujarat Titans,Kolkata Knight Riders,Eden Gardens,Rahul Tewatia,Harshit Rana,7,2,52,1,58,0,163
Punjab Kings,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Shashank Singh,Lockie Ferguson,11,6,91,2,38,0,170
Delhi Capitals,Royal Challengers Bangalore,MA Chidambaram Stadium,Rishabh Pant,Vyshak Vijaykumar,12,2,121,4,54,0,218
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Sam Curran,Karn Sharma,13,6,91,7,21,0,144
Rajasthan Royals,Kolkata Knight Riders,Arun Jaitley Stadium,Yashasvi Jaiswal,Vaibhav Arora,8,2,54,2,33,0,143
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,Abdul Samad,Khaleel Ahmed,15,1,140,9,57,0,207
Mumbai Indians,Lucknow Super Giants,HPCA Stadium Dharamsala,Ishan Kishan,Yash Thakur,5,5,37,7,44,0,164
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Daryl Mitchell,Sunil Narine,12,6,108,1,25,1,156
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,Nitish Rana,Yash Dayal,1,4,11,0,53,0,230
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Shikhar Dhawan,Shardul Thakur,10,1,97,6,75,0,175
Mumbai Indians,Chennai Super Kings,Ekana Cricket Stadium,Dewald Brevis,Tushar Deshpande,9,6,63,4,61,1,137
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Daryl Mitchell,Sandeep Sharma,4,1,47,1,42,3,244
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Manish Pandey,Kuldeep Yadav,10,5,62,2,49,1,136
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Rishabh Pant,Mukesh Choudhary,9,2,59,2,30,4,115
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Dewald Brevis,Umesh Yadav,12,5,89,5,50,1,157
